class,subject,language,book_title,chapter,chapter_url
9,English,English,Beehive English Text Book,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe101/index.html
9,English,English,Beehive English Text Book,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe102/index.html
9,English,English,Beehive English Text Book,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe103/index.html
9,English,English,Beehive English Text Book,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe104/index.html
9,English,English,Beehive English Text Book,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe105/index.html
9,English,English,Beehive English Text Book,» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe106/index.html
9,English,English,Beehive English Text Book,» Chapter 7,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe107/index.html
9,English,English,Beehive English Text Book,» Chapter 8,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe108/index.html
9,English,English,Beehive English Text Book,» Chapter 9,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0959-Beehive%20English%20Textbook/iebe109/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo101/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo102/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo103/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo104/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo105/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo106/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 7,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo107/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 8,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo108/index.html
9,English,English,Moments Supplimentary Reader,» Chapter 9,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0960-Moments-English%20Suppl.%20Reader%20Course-B/iemo109/index.html
9,English,English,Words and Expressions,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0976Words%20and%20Expressions/iewe101/index.html
9,English,English,Words and Expressions,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0976Words%20and%20Expressions/iewe102/index.html
9,English,English,Words and Expressions,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0976Words%20and%20Expressions/iewe103/index.html
9,English,English,Words and Expressions,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0976Words%20and%20Expressions/iewe104/index.html
9,English,English,Words and Expressions,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20IX/0976Words%20and%20Expressions/iewe105/index.html
