class,subject,language,book_title,chapter,chapter_url,embed_url
10,Mathematics,English,Mathematics,» Chapter 1,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh101/index.html,
10,Mathematics,English,Mathematics,» Chapter 2,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh102/index.html,
10,Mathematics,English,Mathematics,» Chapter 3,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh103/index.html,
10,Mathematics,English,Mathematics,» Chapter 4,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh104/index.html,
10,Mathematics,English,Mathematics,» Chapter 5,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh105/index.html,
10,Mathematics,English,Mathematics,» Chapter 6,https://epathshala.nic.in/wp-content/doc/book/flipbook/Class%20X/1062Mathematics/jemh106/index.html,
